opentime,open,high,low,close,volume_USDT,value,signal,position,entry_price,stop_price,stop_loss,stop_profit,unrealized_pnl,realized_pnl,commission
2023-10-24 16:00:00,1777.66,1780.92,1771.23,1771.69,47138421.51711,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:05:00,1771.7,1782.23,1767.62,1781.35,70579425.87459,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:10:00,1781.35,1790.0,1781.0,1785.08,73141886.40799,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:15:00,1785.08,1788.95,1781.19,1783.69,44627136.78822,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:20:00,1783.69,1787.62,1781.36,1783.55,34290539.09891,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:25:00,1783.55,1785.0,1777.89,1780.6,31700204.49993,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:30:00,1780.6,1800.18,1779.41,1797.41,95104591.9016,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:35:00,1797.4,1798.39,1788.47,1788.47,49319371.09835,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:40:00,1788.46,1792.3,1787.57,1789.4,23047990.99105,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:45:00,1789.39,1790.3,1782.68,1784.77,35515432.28328,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:50:00,1784.77,1788.34,1784.52,1785.7,24201861.40658,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 16:55:00,1785.68,1786.32,1780.31,1782.0,23800829.65202,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:00:00,1781.99,1786.04,1780.48,1785.85,14987985.88354,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:05:00,1785.85,1788.15,1785.8,1787.23,11909528.05071,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:10:00,1787.23,1787.23,1777.89,1780.85,20668892.05605,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:15:00,1780.84,1785.47,1778.33,1785.02,12076573.67651,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:20:00,1785.02,1786.15,1781.27,1782.11,7946823.22073,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:25:00,1782.1,1789.2,1781.77,1788.56,26307289.28681,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:30:00,1788.57,1788.57,1780.0,1781.57,15275055.03313,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:35:00,1781.57,1785.0,1781.28,1784.1,9355169.80636,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:40:00,1784.11,1785.0,1779.83,1780.12,11447720.40622,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:45:00,1780.12,1781.88,1777.18,1779.61,15858218.19095,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:50:00,1779.61,1780.5,1777.11,1777.37,9766870.66704,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 17:55:00,1777.38,1779.43,1775.11,1775.85,15226790.46864,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:00:00,1775.85,1776.94,1772.51,1772.69,23556883.83976,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:05:00,1772.69,1772.88,1767.13,1767.19,31753879.23225,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:10:00,1767.21,1771.43,1767.05,1769.83,17982143.1402,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:15:00,1769.83,1770.34,1764.17,1766.66,27550210.72234,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:20:00,1766.64,1766.94,1756.0,1759.23,67005840.22699,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:25:00,1759.24,1764.24,1755.28,1762.07,33693382.63143,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:30:00,1762.07,1767.98,1760.17,1767.87,28514792.06555,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:35:00,1767.86,1770.65,1765.96,1769.8,24851750.00799,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:40:00,1769.81,1773.92,1769.72,1773.59,17179405.33721,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:45:00,1773.59,1777.1,1772.82,1775.51,25823826.36763,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:50:00,1775.51,1778.55,1774.71,1778.2,13423138.26251,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 18:55:00,1778.19,1778.19,1775.64,1776.69,14662191.17991,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 19:00:00,1776.69,1779.7,1776.13,1778.95,12134566.90953,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-10-24 19:05:00,1778.94,1778.95,1772.48,1774.55,16696580.82933,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
