opentime,open,high,low,close,volume,closetime,volume_U,num_trade,taker_buy,taker_buy_volume_U,ignore
2024-06-13 11:04:00,3505.01,3505.01,3501.0,3502.0,1061.395,2024-06-13 11:04:59,3718085.55846,2032,353.808,1239202.3803,0.0
2024-06-13 11:05:00,3502.0,3502.47,3500.01,3500.79,825.529,2024-06-13 11:05:59,2889866.49949,1502,221.878,776709.07925,0.0
2024-06-13 11:06:00,3500.79,3502.24,3500.0,3500.01,1983.859,2024-06-13 11:06:59,6944663.71065,2181,709.221,2482656.60209,0.0
2024-06-13 11:07:00,3500.0,3503.38,3500.0,3503.37,769.911,2024-06-13 11:07:59,2696432.94657,1209,477.556,1672457.49147,0.0
2024-06-13 11:08:00,3503.37,3503.38,3500.0,3500.01,535.623,2024-06-13 11:08:59,1875341.50643,1013,174.304,610237.01688,0.0
2024-06-13 11:09:00,3500.0,3500.01,3498.82,3498.82,613.92,2024-06-13 11:09:59,2148440.77917,899,91.433,319951.86018,0.0
2024-06-13 11:10:00,3498.83,3498.83,3495.23,3495.85,1294.676,2024-06-13 11:10:59,4527435.24362,2549,412.784,1443445.31596,0.0
2024-06-13 11:11:00,3495.85,3498.8,3495.85,3497.34,1004.338,2024-06-13 11:11:59,3512658.02581,1712,571.053,1997333.21516,0.0
2024-06-13 11:12:00,3497.34,3499.35,3497.33,3498.66,500.936,2024-06-13 11:12:59,1752597.37496,1051,319.923,1119225.59345,0.0
2024-06-13 11:13:00,3498.65,3498.66,3496.82,3497.59,753.804,2024-06-13 11:13:59,2636357.68221,1180,269.994,944286.12138,0.0
2024-06-13 11:14:00,3497.59,3499.8,3497.16,3499.12,504.43,2024-06-13 11:14:59,1764995.98668,951,382.098,1336931.94262,0.0
2024-06-13 11:15:00,3499.11,3499.11,3496.45,3497.87,1283.07,2024-06-13 11:15:59,4487305.45963,1611,825.055,2885384.46124,0.0
2024-06-13 11:16:00,3497.87,3504.64,3497.87,3504.44,640.148,2024-06-13 11:16:59,2241699.12073,1916,417.138,1460668.58325,0.0
2024-06-13 11:17:00,3504.4,3504.4,3502.03,3502.21,675.419,2024-06-13 11:17:59,2366276.78246,1237,261.879,917443.4973,0.0
2024-06-13 11:18:00,3502.2,3503.87,3501.15,3501.15,430.153,2024-06-13 11:18:59,1506694.16409,881,225.974,791532.4959,0.0
2024-06-13 11:19:00,3501.16,3502.13,3499.94,3500.35,515.586,2024-06-13 11:19:59,1804985.08266,1340,329.943,1155108.82528,0.0
2024-06-13 11:20:00,3500.35,3502.21,3500.35,3501.52,369.858,2024-06-13 11:20:59,1294822.01825,876,232.501,813933.55115,0.0
2024-06-13 11:21:00,3501.49,3504.0,3500.94,3503.19,683.717,2024-06-13 11:21:59,2394811.32623,1216,391.746,1372096.95904,0.0
2024-06-13 11:22:00,3503.19,3504.0,3501.29,3501.36,492.946,2024-06-13 11:22:59,1726429.60645,1226,155.558,544769.35796,0.0
2024-06-13 11:23:00,3501.36,3503.01,3501.11,3501.29,636.928,2024-06-13 11:23:59,2230658.6549,1013,540.569,1893223.52721,0.0
2024-06-13 11:24:00,3501.28,3501.31,3500.2,3500.2,249.627,2024-06-13 11:24:59,873879.28612,767,127.146,445099.66334,0.0
2024-06-13 11:25:00,3500.21,3500.21,3498.65,3499.11,345.914,2024-06-13 11:25:59,1210561.07936,973,126.923,444156.06009,0.0
2024-06-13 11:26:00,3499.1,3502.0,3499.1,3502.0,301.357,2024-06-13 11:26:59,1054986.61081,989,233.115,816074.82619,0.0
2024-06-13 11:27:00,3502.0,3503.6,3501.99,3503.39,250.715,2024-06-13 11:27:59,878269.30947,841,186.076,651820.9602,0.0
2024-06-13 11:28:00,3503.4,3505.2,3503.4,3504.0,358.624,2024-06-13 11:28:59,1256821.81194,1162,225.099,788862.23428,0.0
2024-06-13 11:29:00,3504.01,3505.44,3504.0,3505.2,528.94,2024-06-13 11:29:59,1853807.67644,857,379.889,1331427.47213,0.0
2024-06-13 11:30:00,3505.2,3507.0,3503.5,3503.5,1583.477,2024-06-13 11:30:59,5550928.63834,2492,1065.609,3735752.06034,0.0
2024-06-13 11:31:00,3503.5,3506.8,3503.5,3506.05,652.822,2024-06-13 11:31:59,2288420.69795,1256,474.718,1664082.14506,0.0
2024-06-13 11:32:00,3506.04,3506.7,3505.0,3505.01,428.717,2024-06-13 11:32:59,1502963.92236,834,89.458,313602.68116,0.0
2024-06-13 11:33:00,3505.0,3505.32,3503.11,3504.2,542.541,2024-06-13 11:33:59,1901239.28448,1127,267.316,936726.97923,0.0
2024-06-13 11:34:00,3504.2,3504.21,3501.41,3501.41,494.405,2024-06-13 11:34:59,1731784.41276,1043,39.462,138251.4487,0.0
2024-06-13 11:35:00,3501.42,3503.76,3501.42,3503.21,784.596,2024-06-13 11:35:59,2748084.65044,1109,337.784,1183036.6889,0.0
2024-06-13 11:36:00,3503.21,3503.21,3500.67,3501.04,493.978,2024-06-13 11:36:59,1729627.51321,905,98.011,343191.98329,0.0
2024-06-13 11:37:00,3501.03,3502.28,3500.62,3500.75,391.47,2024-06-13 11:37:59,1370591.219,789,160.988,563642.26515,0.0
2024-06-13 11:38:00,3500.75,3502.0,3500.75,3502.0,316.809,2024-06-13 11:38:59,1109207.0812,690,192.977,675657.24703,0.0
2024-06-13 11:39:00,3501.99,3501.99,3499.83,3499.83,234.455,2024-06-13 11:39:59,820814.68598,710,63.737,223156.65523,0.0
2024-06-13 11:40:00,3499.84,3502.18,3499.83,3502.17,460.787,2024-06-13 11:40:59,1612920.80639,778,259.339,907797.17814,0.0
2024-06-13 11:41:00,3502.17,3502.89,3501.52,3502.53,230.919,2024-06-13 11:41:59,808739.35194,835,94.635,331434.01219,0.0
2024-06-13 11:42:00,3502.53,3504.63,3502.32,3503.54,376.532,2024-06-13 11:42:59,1319089.19633,988,190.219,666365.48649,0.0
2024-06-13 11:43:00,3503.54,3503.55,3502.89,3503.18,140.254,2024-06-13 11:43:59,491340.73747,658,79.981,280187.65908,0.0
2024-06-13 11:44:00,3503.17,3505.04,3503.17,3504.76,352.132,2024-06-13 11:44:59,1233899.91412,1007,251.072,879753.55692,0.0
2024-06-13 11:45:00,3504.75,3504.75,3500.31,3500.31,868.625,2024-06-13 11:45:59,3042177.15816,1406,271.643,951227.90549,0.0
2024-06-13 11:46:00,3500.32,3500.32,3499.0,3499.01,1127.771,2024-06-13 11:46:59,3946858.43614,1953,369.77,1294074.52253,0.0
2024-06-13 11:47:00,3499.01,3499.41,3497.08,3497.08,653.329,2024-06-13 11:47:59,2285490.28283,1185,179.928,629463.95354,0.0
2024-06-13 11:48:00,3497.08,3498.24,3497.07,3497.77,841.983,2024-06-13 11:48:59,2945001.42373,1360,338.818,1185055.38115,0.0
2024-06-13 11:49:00,3497.77,3499.0,3497.18,3498.99,596.723,2024-06-13 11:49:59,2087163.24607,1248,206.357,721811.66419,0.0
2024-06-13 11:50:00,3498.99,3499.84,3494.9,3496.13,2230.798,2024-06-13 11:50:59,7801628.63443,3560,913.312,3194184.14128,0.0
2024-06-13 11:51:00,3496.14,3498.87,3495.66,3496.37,1080.151,2024-06-13 11:51:59,3777571.15607,1906,643.059,2248979.36378,0.0
2024-06-13 11:52:00,3496.38,3499.32,3496.38,3498.16,706.332,2024-06-13 11:52:59,2470699.15179,1431,332.421,1162710.2432,0.0
2024-06-13 11:53:00,3498.17,3499.33,3497.98,3498.66,185.067,2024-06-13 11:53:59,647520.22816,584,94.392,330242.75347,0.0
2024-06-13 11:54:00,3498.66,3498.68,3496.43,3496.45,388.65,2024-06-13 11:54:59,1359251.23276,966,84.471,295432.61524,0.0
2024-06-13 11:55:00,3496.45,3498.1,3492.72,3496.44,2717.341,2024-06-13 11:55:59,9497812.09206,3154,1408.246,4921568.29125,0.0
2024-06-13 11:56:00,3496.44,3496.6,3494.47,3495.26,2795.048,2024-06-13 11:56:59,9769719.34751,3125,1444.929,5050309.7586,0.0
2024-06-13 11:57:00,3495.26,3495.94,3493.91,3494.18,944.26,2024-06-13 11:57:59,3299916.21902,1441,467.111,1632370.49447,0.0
2024-06-13 11:58:00,3494.17,3495.42,3493.07,3495.41,812.641,2024-06-13 11:58:59,2839616.68771,1637,469.878,1641947.02659,0.0
